Country/Area,Item1,Purpose,Year,Overnight Stays
China,Iwate,Overall,2023,"15,030"
China,Kagawa,Overall,2019,"141,380"
China,Kagawa,Overall,2020,"12,440"
China,Kagawa,Overall,2021,990
China,Kagawa,Overall,2022,"1,770"
China,Kagawa,Overall,2023,"34,430"
China,Kagoshima,Overall,2019,"112,920"
China,Kagoshima,Overall,2020,"18,030"
China,Kagoshima,Overall,2021,910
China,Kagoshima,Overall,2022,"1,850"
China,Kagoshima,Overall,2023,"32,360"
China,Kanagawa,Overall,2019,"917,910"
China,Kanagawa,Overall,2020,"108,500"
China,Kanagawa,Overall,2021,"7,470"
China,Kanagawa,Overall,2022,"29,730"
China,Kanagawa,Overall,2023,"340,830"
China,Kochi,Overall,2019,"13,500"
China,Kochi,Overall,2020,"1,620"
China,Kochi,Overall,2021,190
China,Kochi,Overall,2022,560
China,Kochi,Overall,2023,"7,910"
China,Kumamoto,Overall,2019,"133,170"
China,Kumamoto,Overall,2020,"19,730"
China,Kumamoto,Overall,2021,"1,100"
China,Kumamoto,Overall,2022,"3,100"
China,Kumamoto,Overall,2023,"59,130"
China,Kyoto,Overall,2019,"2,453,690"
China,Kyoto,Overall,2020,"328,210"
China,Kyoto,Overall,2021,"9,960"
China,Kyoto,Overall,2022,"67,360"
China,Kyoto,Overall,2023,"1,187,710"
China,Mie,Overall,2019,"154,490"
China,Mie,Overall,2020,"15,940"
China,Mie,Overall,2021,"2,590"
China,Mie,Overall,2022,"3,170"
China,Mie,Overall,2023,"19,390"
China,Miyagi,Overall,2019,"64,530"
China,Miyagi,Overall,2020,"14,350"
China,Miyagi,Overall,2021,"4,510"
China,Miyagi,Overall,2022,"5,020"
China,Miyagi,Overall,2023,"43,880"
China,Miyazaki,Overall,2019,"17,620"
China,Miyazaki,Overall,2020,"3,130"
China,Miyazaki,Overall,2021,300
China,Miyazaki,Overall,2022,"1,250"
China,Miyazaki,Overall,2023,"10,270"
China,Nagano,Overall,2019,"216,650"
China,Nagano,Overall,2020,"50,310"
China,Nagano,Overall,2021,"2,900"
China,Nagano,Overall,2022,"7,480"
China,Nagano,Overall,2023,"68,520"
China,Nagasaki,Overall,2019,"87,970"
