Country/Area,Item1,Purpose,Year,Overnight Stays
France,Kanagawa,Overall,2021,"1,270"
France,Kanagawa,Overall,2022,"9,430"
France,Kanagawa,Overall,2023,"46,030"
France,Kochi,Overall,2021,20
France,Kochi,Overall,2022,80
France,Kochi,Overall,2023,"1,680"
France,Kumamoto,Overall,2021,90
France,Kumamoto,Overall,2022,440
France,Kumamoto,Overall,2023,"5,690"
France,Kyoto,Overall,2021,"1,300"
France,Kyoto,Overall,2022,"37,620"
France,Kyoto,Overall,2023,"315,810"
France,Mie,Overall,2021,20
France,Mie,Overall,2022,"1,070"
France,Mie,Overall,2023,"3,670"
France,Miyagi,Overall,2021,130
France,Miyagi,Overall,2022,"1,010"
France,Miyagi,Overall,2023,"4,850"
France,Miyazaki,Overall,2021,390
France,Miyazaki,Overall,2022,380
France,Miyazaki,Overall,2023,"1,040"
France,Nagano,Overall,2021,390
France,Nagano,Overall,2022,"1,390"
France,Nagano,Overall,2023,"15,790"
France,Nagasaki,Overall,2021,200
France,Nagasaki,Overall,2022,"1,160"
France,Nagasaki,Overall,2023,"3,340"
France,Nara,Overall,2021,100
France,Nara,Overall,2022,"1,150"
France,Nara,Overall,2023,"13,390"
France,Niigata,Overall,2021,270
France,Niigata,Overall,2022,340
France,Niigata,Overall,2023,"1,790"
France,Oita,Overall,2021,50
France,Oita,Overall,2022,320
France,Oita,Overall,2023,"3,040"
France,Okayama,Overall,2021,80
France,Okayama,Overall,2022,"1,760"
France,Okayama,Overall,2023,"15,600"
France,Okinawa,Overall,2021,800
France,Okinawa,Overall,2022,"1,080"
France,Okinawa,Overall,2023,"12,960"
France,Osaka,Overall,2021,"3,120"
France,Osaka,Overall,2022,"14,270"
France,Osaka,Overall,2023,"127,580"
France,Saga,Overall,2021,10
France,Saga,Overall,2022,130
France,Saga,Overall,2023,930
France,Saitama,Overall,2021,580
France,Saitama,Overall,2022,710
France,Saitama,Overall,2023,"3,040"
France,Shiga,Overall,2021,30
France,Shiga,Overall,2022,230
France,Shiga,Overall,2023,"1,600"
France,Shimane,Overall,2021,20
France,Shimane,Overall,2022,220
France,Shimane,Overall,2023,"2,810"
France,Shizuoka,Overall,2021,"1,110"
France,Shizuoka,Overall,2022,"2,240"
France,Shizuoka,Overall,2023,"14,600"
France,Tochigi,Overall,2021,160
France,Tochigi,Overall,2022,520
France,Tochigi,Overall,2023,"4,970"
France,Tokushima,Overall,2021,70
France,Tokushima,Overall,2022,370
France,Tokushima,Overall,2023,"2,730"
France,Tokyo,Overall,2021,"61,890"
France,Tokyo,Overall,2022,"121,120"
France,Tokyo,Overall,2023,"666,430"
France,Tottori,Overall,2021,0
France,Tottori,Overall,2022,40
France,Tottori,Overall,2023,540
France,Toyama,Overall,2021,50
France,Toyama,Overall,2022,210
France,Toyama,Overall,2023,"1,720"
France,Wakayama,Overall,2021,40
France,Wakayama,Overall,2022,380
France,Wakayama,Overall,2023,"4,480"
France,Yamagata,Overall,2021,40
France,Yamagata,Overall,2022,140
France,Yamagata,Overall,2023,"1,640"
France,Yamaguchi,Overall,2021,50
France,Yamaguchi,Overall,2022,240
France,Yamaguchi,Overall,2023,810
France,Yamanashi,Overall,2021,"2,600"
France,Yamanashi,Overall,2022,"1,030"
France,Yamanashi,Overall,2023,"12,950"
Germany,Aichi,Overall,2021,210
